CmpdID,neuSmi,y_true
4477,CCOCC(Oc1ncnc2c1cnn2-c1ncccc1Cl)C(=O)Nc1ccc(C#N)cn1,4.7
2284,CC1=Nc2ccccc2C1(C)C,4
5499,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5cccc(Cl)c5)c4)n[nH]c2-3)CC1,5.59
7196,COc1ccc2ncc(F)c(CC(N)C3CCC(NCc4ccc5c(n4)NC(=O)CO5)CO3)c2n1,5.3
8701,Cc1cccc(C#N)c1,4
5800,CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,6.16
7193,COc1ccc2ncc(F)c(CC(C)(O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.21
13180,c1ccc(CCCNCCN(c2ccccc2)c2ccccc2)cc1,6.22
2409,CC1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,4.7
6320,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4
185,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,4
13308,c1cncc(OCC2CNCCN2c2nc3ncccc3o2)c1,4.14
10045,N#Cc1ccc(C(=O)N2CCC(c3ccc(C(=O)NC(=N)N)cc3C(F)(F)F)CC2)cc1,5.4
10189,N=C(NCCCOc1ccc(F)cc1)Nc1ccc(Cl)cc1,6.52
5927,COC(=O)CCC(=O)OC,4
5862,COC(=O)C(Cl)C(=O)OC,4
5956,COC(=O)N(C)c1c(N)nc(-n2nc(Cc3ccccc3F)c3cc(Cl)ccc32)nc1N,5.2
6327,COP(=S)(OC)SCn1nnc2ccccc2c1=O,4
2775,CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.068459224
5605,CNC(=O)ON=C(CSC)C(C)(C)C,4
4042,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCC3CCCS3)CC1=O)C2,4.88
10345,NC(=O)c1cnc(NC2CCCNC2)c2cc(-c3ccsc3)sc12,4.55
7233,COc1ccc2ncc(S(C)(=O)=O)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.715
10677,Nc1cc([N+](=O)[O-])cc(Cl)c1O,4
1805,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,7.19
3125,CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,5.36
8243,Cc1cc(Nc2cc(NC3CCCCC3N)cnc2C(N)=O)nc(C)c1-c1cnn(C)c1,6
1163,CC(C)(O)C(=O)c1ccccc1,4
7218,COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5C)OCC(=O)N6)(CC3)CO4)c2n1,5.82
7024,COc1ccc(N)cc1,4
9434,ClCCCN1CCN(c2cccc(Cl)c2)CC1,4.996339446
8455,Cc1ccc(Cc2cc3c(=O)n(C4CCCCC4O)cnc3c3ccccc23)cn1,4.22
10816,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,4
11784,O=C(O)c1ccc(CO)o1,4
5132,CN(C)Cc1ccc(-n2cc(-c3ccc4cc[nH]c4c3)c3c(Cl)ccnc32)cc1,5.77
9666,Cn1c2c(c3cc(C(=O)N4CCCCC4)ccc31)CN(C1CCOCC1)CC2,4.75
9939,N#CC(N)=C(N)C#N,4
10468,NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,4.7
1858,CC(NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)c1cccc(Cl)c1,4.64
4720,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,4
9250,Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3F)C2)n1C,6.3475
9280,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(C(F)(F)C(F)(F)F)nc4c3CC2)n1C,6.5
3237,CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,4
5928,COC(=O)CCCC(=O)O,4
9031,Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12,5
4382,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,4
5510,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,4
