CmpdID,neuSmi,y_true
3308,Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,5.32
11634,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCC3)c1,4
303,Cc1nc(N2CCC(N3CCCC3)CC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12,6.35
9248,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,4
6105,CCCCCCCNC[C@@H](O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,5.16
4223,COC(=O)N(C)c1c(N)nc(-n2nc(Cc3cc(F)cc(F)c3F)c3ccccc32)nc1N,4.55
3470,CS(=O)(=O)Nc1ccc2c(c1)nc1n2C[C@H](N)[C@@H](c2cc(F)c(F)cc2F)C1.O=C(O)C(F)(F)F,5.6
4058,COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(-c2cnc(OC)nc2)c1,5.2
972,c1ccc2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncc2c1,5.496666667
2370,O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCOCC3)ccc2C1,4.96
8632,C[Si](C)(CCCN)O[Si](C)(C)CCCN,4
3854,COc1ccc2ncc(F)c(CC[C@@]3(O)CO[C@@H]4[C@@H](NCc5ccc(C)cc5)CO[C@@H]43)c2n1,5.38
7801,CC(C)CCOC(=O)c1ccc(N(C)C)cc1,4.596339446
9635,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,4
11353,CNC(C)Cc1ccc2c(c1)OCO2,4
3872,Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(NC4CCCCC4)c23)cn1,6.21
928,CCNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,4.92
7529,O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1,4.602131362
11435,Oc1ccc([C@H]2CNCc3c2ccc(O)c3O)cc1O,4
10983,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,4
6517,CCC(=S)N1CCC(CN2CC[C@H](NC(=O)c3cc(Cl)c(N)cc3OC)[C@H](OC)C2)CC1,5.54
8973,C=COC(C)=O,4
12070,COc1cc(C=O)ccc1OC(=O)C(C)C,4
8627,C[Si](C)(C)C,4
6143,COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CCCC56COC6)cc4)C3)o2)cc1,4.92
11269,CCN(CC)CCNC(=O)COc1ccc(OC)cc1,4
6844,COc1cn(C2=CCC3C4CC=C5C[C@@H](NC(=O)c6ccncc6)CC[C@]5(C)C4CC[C@]23C)cn1,5.39
8381,O=[N+]([O-])c1cccc(Cl)c1,4
7135,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,5.171339446
8563,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4
12403,CCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,4
4853,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(C3CN(Cc4c(O)cnc5cccnc45)C3)C(=O)O[C@]12C,4.17
2918,COCCN1CCC[C@@H](Cn2c(-c3ccccc3C)nc3nc(-c4ccc(Cl)cc4)sc3c2=O)C1,5.43
7319,O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,4.810103451
4880,Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3cc[nH]c3n2)c(OC(C)C)cc1C1CCN(C)CC1,5.77
7333,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,4.793436785
2300,Cc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)nc1C,4.7
6605,O=C1CN(c2ccncc2)CCN1CCCCCOc1ccc(-c2ccc(Cl)cc2)cc1,6.43
13188,O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,4
7280,CCC(C)Nc1ccc(NC(C)CC)cc1,4.90172265
5181,Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,5.04
13639,O=C(NO)c1ccccc1,4
11647,Cc1ccc(NC(=O)N(C)C)cc1NC(=O)N(C)C,4
10019,CC1CCC(=O)C1=O,4
7450,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,4.671339446
